,date,tic,open,high,low,close,volume,day
0,2009-01-05,600000.SH,2.7584,2.8115,2.7258,2.8013,503142.56,0
1,2009-01-05,600009.SH,9.4665,9.6505,9.4414,9.5836,52100.33,0
2,2009-01-05,600016.SH,1.6369,1.6487,1.617,1.6448,947739.82,0
3,2009-01-05,600028.SH,3.1966,3.2461,3.1786,3.2371,361085.66,0
4,2009-01-05,600030.SH,9.2667,9.5705,9.1654,9.5502,818978.41,0
5,2009-01-05,600031.SH,2.571,2.7077,2.5674,2.6987,163189.53,0
6,2009-01-05,600036.SH,6.0149,6.1118,5.9277,6.0972,621107.1,0
7,2009-01-05,600048.SH,2.7063,2.862,2.6915,2.8546,158072.19,0
8,2009-01-05,600050.SH,4.6327,4.6595,4.5075,4.5701,1419761.57,0
9,2009-01-05,600104.SH,2.6235,2.6472,2.5761,2.6425,101519.73,0
10,2009-01-06,600000.SH,2.8422,2.981,2.8422,2.9565,958496.0,1
11,2009-01-06,600009.SH,9.525,10.1021,9.4999,10.077,104182.13,1
12,2009-01-06,600016.SH,1.6567,1.7042,1.6487,1.6923,2065345.99,1
13,2009-01-06,600028.SH,3.2191,3.3497,3.2056,3.3362,739138.0,1
14,2009-01-06,600030.SH,9.4692,9.8996,9.4439,9.8085,968404.78,1
15,2009-01-06,600031.SH,2.6987,2.9686,2.6807,2.9686,216050.9,1
16,2009-01-06,600036.SH,6.1263,6.3926,6.0924,6.3442,868546.64,1
17,2009-01-06,600048.SH,2.8509,2.9918,2.8194,2.9454,215011.4,1
18,2009-01-06,600050.SH,4.579,4.7847,4.5522,4.7311,1880800.81,1
19,2009-01-06,600104.SH,2.6472,2.8275,2.6188,2.7943,228139.51,1
20,2009-01-07,600000.SH,2.9565,2.9769,2.9034,2.9177,618938.77,2
21,2009-01-07,600009.SH,10.0352,10.1439,9.9097,9.9097,104737.95,2
22,2009-01-07,600016.SH,1.6884,1.7082,1.6606,1.6646,1132423.59,2
23,2009-01-07,600028.SH,3.3317,3.3407,3.2641,3.2641,400701.64,2
24,2009-01-07,600030.SH,9.7832,9.93,9.6819,9.7072,668943.83,2
25,2009-01-07,600031.SH,3.0711,3.1125,2.9704,3.0315,428279.45,2
26,2009-01-07,600036.SH,6.3152,6.4992,6.2231,6.2328,701293.4,2
27,2009-01-07,600048.SH,2.9658,3.014,2.9195,2.9232,132985.39,2
28,2009-01-07,600050.SH,4.7758,4.7847,4.5611,4.6416,2669744.43,2
29,2009-01-07,600104.SH,2.7848,2.8512,2.7611,2.799,149879.97,2
30,2009-01-08,600000.SH,2.834,2.8483,2.7686,2.787,601220.06,3
31,2009-01-08,600009.SH,9.7425,10.3028,9.709,10.0519,157304.61,3
32,2009-01-08,600016.SH,1.6369,1.6408,1.617,1.6289,1116321.84,3
33,2009-01-08,600028.SH,3.2146,3.2236,3.1336,3.2146,602835.58,3
34,2009-01-08,600030.SH,9.5198,9.6262,9.4135,9.611,600603.89,3
35,2009-01-08,600031.SH,2.9758,3.0351,2.9056,2.9524,216623.74,3
36,2009-01-08,600036.SH,6.1021,6.1021,5.8987,5.9277,838262.85,3
37,2009-01-08,600048.SH,2.8583,3.0066,2.8361,3.0029,161052.88,3
38,2009-01-08,600050.SH,4.5701,4.5701,4.2928,4.3644,2448736.85,3
39,2009-01-08,600104.SH,2.7421,2.7706,2.652,2.6804,102524.58,3
40,2009-01-09,600000.SH,2.7931,2.8912,2.7931,2.8769,567305.33,4
41,2009-01-09,600009.SH,10.0184,10.4867,10.0017,10.4282,155532.76,4
42,2009-01-09,600016.SH,1.6289,1.6567,1.625,1.6448,701726.55,4
43,2009-01-09,600028.SH,3.1876,3.2236,3.1786,3.2146,353464.0,4
44,2009-01-09,600030.SH,9.5604,9.7528,9.5604,9.6515,496987.23,4
45,2009-01-09,600031.SH,2.9524,3.1053,2.9524,3.0801,239336.87,4
46,2009-01-09,600036.SH,5.9277,6.0585,5.9084,6.0294,564700.63,4
47,2009-01-09,600048.SH,2.9936,3.0548,2.9491,3.0214,110906.47,4
48,2009-01-09,600050.SH,4.3554,4.427,4.3375,4.4002,1144900.06,4
49,2009-01-09,600104.SH,2.6804,2.7753,2.6662,2.7658,91832.41,4
50,2009-01-12,600000.SH,2.8769,2.9892,2.8728,2.9197,754046.46,0
51,2009-01-12,600009.SH,10.5369,10.9467,10.4533,10.7878,210838.45,0
52,2009-01-12,600016.SH,1.6487,1.6646,1.621,1.6448,726829.03,0
53,2009-01-12,600028.SH,3.1921,3.2281,3.1606,3.1921,413268.93,0
54,2009-01-12,600030.SH,9.5755,9.7224,9.4236,9.5401,532136.45,0
55,2009-01-12,600031.SH,3.0765,3.2258,2.9866,3.1809,235312.34,0
56,2009-01-12,600036.SH,6.0149,6.1263,5.9374,5.9713,674974.24,0
57,2009-01-12,600048.SH,2.9825,3.0585,2.9436,2.9658,120475.65,0
58,2009-01-12,600050.SH,4.3912,4.3912,4.2213,4.3107,1761574.83,0
59,2009-01-12,600104.SH,2.6425,2.8465,2.6425,2.8038,336364.73,0
60,2009-01-13,600000.SH,2.8422,2.8993,2.8177,2.8564,524560.34,1
61,2009-01-13,600009.SH,10.5787,10.7376,10.3864,10.5871,92446.81,1
62,2009-01-13,600016.SH,1.621,1.621,1.5972,1.6012,1127088.65,1
63,2009-01-13,600028.SH,3.1651,3.2011,3.1381,3.1786,308971.61,1
64,2009-01-13,600030.SH,9.3781,9.5047,9.297,9.3375,427121.23,1
65,2009-01-13,600031.SH,3.1089,3.1305,2.9956,2.9973,145474.77,1
66,2009-01-13,600036.SH,5.8067,5.8793,5.705,5.8212,686329.42,1
67,2009-01-13,600048.SH,2.9287,2.9454,2.7805,2.7971,135688.57,1
68,2009-01-13,600050.SH,4.2749,4.2749,4.1408,4.1676,1221483.73,1
69,2009-01-13,600104.SH,2.7753,2.9414,2.7516,2.8465,477775.24,1
70,2009-01-14,600000.SH,2.8503,3.1117,2.834,3.0872,1130277.54,2
71,2009-01-14,600009.SH,10.5369,10.7794,10.5035,10.7042,78999.49,2
72,2009-01-14,600016.SH,1.6012,1.6765,1.6012,1.6686,1500364.54,2
73,2009-01-14,600028.SH,3.1741,3.2641,3.1606,3.2596,532921.07,2
74,2009-01-14,600030.SH,9.3274,10.2541,9.3274,10.1984,1293798.14,2
75,2009-01-14,600031.SH,2.9866,3.1593,2.9776,3.1341,166809.63,2
76,2009-01-14,600036.SH,5.8115,6.2377,5.8067,6.1844,823434.26,2
77,2009-01-14,600048.SH,2.7879,2.9287,2.7805,2.9084,128584.63,2
78,2009-01-14,600104.SH,2.8655,2.8939,2.7848,2.8844,279769.08,2
79,2009-01-15,600000.SH,3.0218,3.1525,3.0014,3.0851,1198117.56,3
80,2009-01-15,600009.SH,10.6624,10.6624,10.4282,10.4951,189782.1,3
81,2009-01-15,600016.SH,1.6487,1.6805,1.6408,1.6646,1519653.42,3
82,2009-01-15,600028.SH,3.2191,3.2641,3.2011,3.2281,587562.1,3
83,2009-01-15,600030.SH,10.0161,10.2338,9.8946,10.011,1050126.27,3
84,2009-01-15,600031.SH,3.0855,3.3194,3.0585,3.2798,345093.22,3
85,2009-01-15,600036.SH,6.0827,6.32,5.9858,6.073,968442.74,3
86,2009-01-15,600048.SH,2.8731,3.0084,2.8546,2.9751,168145.68,3
87,2009-01-15,600050.SH,4.266,4.3554,4.2481,4.2928,2468983.58,3
88,2009-01-15,600104.SH,2.8892,2.9224,2.8038,2.837,280114.6,3
89,2009-01-16,600000.SH,3.1035,3.2873,3.1035,3.1893,1124420.14,4
90,2009-01-16,600009.SH,10.4282,10.7878,10.4282,10.7711,137171.37,4
91,2009-01-16,600016.SH,1.6725,1.7518,1.6725,1.7201,3512222.18,4
92,2009-01-16,600028.SH,3.2461,3.4172,3.2461,3.3452,1107457.49,4
