date,account_value
2019-01-02,999995.0522
2019-01-03,999923.39118
2019-01-04,999942.0583800001
2019-01-07,999925.4095000001
2019-01-08,999944.07473
2019-01-09,1000356.49648
2019-01-10,999827.14564
2019-01-11,999341.07355
2019-01-14,998377.89127
2019-01-15,998806.22087
2019-01-16,997927.45788
2019-01-17,998106.47819
2019-01-18,1000859.2886900001
2019-01-21,1001569.3241900001
2019-01-22,998745.9410200001
2019-01-23,997783.6416900001
2019-01-24,996961.87343
2019-01-25,998309.49562
2019-01-28,999612.9351299999
2019-01-29,1000205.0832199999
2019-01-30,1000023.66014
2019-01-31,1000410.6784
2019-02-01,1000945.91211
2019-02-11,1002521.99708
2019-02-12,1003412.70473
2019-02-13,1008490.02908
2019-02-14,1009735.9253100001
2019-02-15,1006575.3284100001
2019-02-18,1009925.06169
2019-02-19,1013565.29926
2019-02-20,1018892.2690799999
2019-02-21,1020378.72077
2019-02-22,1027192.44935
2019-02-25,1028742.23079
2019-02-26,1020321.97972
2019-02-27,1016707.29177
2019-02-28,1021580.7482899999
2019-03-01,1029714.5348199998
2019-03-04,1027432.5512499998
2019-03-05,1023481.6288399998
2019-03-06,1020529.6200899997
2019-03-07,1017745.9190999997
2019-03-08,1016791.6206999997
2019-03-11,1020840.0480199999
2019-03-12,1019624.4628399998
2019-03-13,1017276.6797099998
2019-03-14,1021427.1562299998
2019-03-15,1023821.7716799998
2019-03-18,1027257.6254299998
2019-03-19,1029128.5408799998
2019-03-20,1024850.8417699998
2019-03-21,1024945.1006999997
2019-03-22,1034642.4130299997
2019-03-25,1019541.8801699998
2019-03-26,1019589.1963299997
2019-03-27,1024985.0442799998
2019-03-28,1033558.9490199997
2019-03-29,1047715.6352899999
2019-04-01,1045203.3947699999
2019-04-02,1047282.9489
2019-04-03,1047866.0432099999
2019-04-04,1050256.5882299999
2019-04-08,1041055.9915499999
2019-04-09,1043772.1816599999
2019-04-10,1052439.92624
2019-04-11,1043241.5922399999
2019-04-12,1038892.82404
2019-04-15,1041387.2585199999
2019-04-16,1050396.56042
2019-04-17,1053778.96321
2019-04-18,1061196.86994
2019-04-19,1078483.09311
2019-04-22,1078052.48217
2019-04-23,1097617.71312
2019-04-24,1087945.16469
2019-04-25,1091989.9422400002
2019-04-26,1074293.69255
2019-04-29,1107711.6987700001
2019-04-30,1108700.82222
2019-05-06,1079754.182
2019-05-07,1114945.5718
2019-05-08,1095767.7182800001
2019-05-09,1084245.0052
2019-05-10,1125483.8951800002
2019-05-13,1107822.6953300002
2019-05-14,1091454.3179700002
2019-05-15,1108846.0483000001
2019-05-16,1134129.72793
2019-05-17,1114591.12951
2019-05-20,1095355.0071500002
2019-05-21,1099502.5786300004
2019-05-22,1103785.4429700002
2019-05-23,1093748.8363300003
2019-05-24,1085796.2351300002
2019-05-27,1086436.2670500001
2019-05-28,1105089.2825500001
2019-05-29,1093391.6398300002
2019-05-30,1100052.5883700002
2019-05-31,1096003.2981600002
2019-06-03,1100955.36786
2019-06-04,1104484.4922000002
2019-06-05,1099418.5766300003
2019-06-06,1102416.6416000002
2019-06-10,1140849.0133700003
2019-06-11,1162494.3769400003
2019-06-12,1146091.3466600003
2019-06-13,1144002.2460200002
2019-06-14,1135903.7210000004
2019-06-17,1153715.2909900004
2019-06-18,1159381.3389300003
2019-06-19,1172121.7209800002
2019-06-20,1196641.6520600002
2019-06-21,1190473.9681400002
2019-06-24,1200454.2658300004
2019-06-25,1193168.7973600002
2019-06-26,1201179.96916
2019-06-27,1224754.7876600001
2019-06-28,1253587.0596600003
2019-07-01,1285099.9045300004
2019-07-02,1260900.1026900003
2019-07-03,1242389.16504
2019-07-04,1205424.30282
